
2024/03/12 (16:52:17) | ===> btop++ v.1.2.3
2024/03/12 (16:52:17) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/03/12 (16:52:32) | ===> btop++ v.1.2.3
2024/03/12 (16:52:32) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/12 (16:54:44) | ===> btop++ v.1.2.3
2024/03/12 (16:54:44) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/14 (18:10:29) | ===> btop++ v.1.2.3
2024/03/14 (18:10:29) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/03/14 (18:10:34) | ===> btop++ v.1.2.3
2024/03/14 (18:10:34) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/14 (18:12:17) | ===> btop++ v.1.2.3
2024/03/14 (18:12:17) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/15 (14:06:58) | ===> btop++ v.1.2.3
2024/03/15 (14:06:58) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/15 (14:07:38) | ===> btop++ v.1.2.3
2024/03/15 (14:07:38) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/15 (14:20:36) | ===> btop++ v.1.2.3
2024/03/15 (14:20:36) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/15 (15:14:31) | ===> btop++ v.1.2.3
2024/03/15 (15:14:31) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/17 (00:19:53) | ===> btop++ v.1.2.3
2024/03/17 (00:19:53) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/23 (00:00:18) | ===> btop++ v.1.2.3
2024/03/23 (00:00:18) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/26 (21:50:51) | ===> btop++ v.1.2.3
2024/03/26 (21:50:51) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/29 (13:52:39) | ===> btop++ v.1.2.3
2024/03/29 (13:52:39) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/29 (14:37:28) | ===> btop++ v.1.2.3
2024/03/29 (14:37:28) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/31 (10:55:03) | ===> btop++ v.1.2.3
2024/03/31 (10:55:03) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/31 (10:55:11) | ===> btop++ v.1.2.3
2024/03/31 (10:55:11) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/31 (18:28:52) | ===> btop++ v.1.2.3
2024/03/31 (18:28:52) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/31 (18:30:19) | ===> btop++ v.1.2.3
2024/03/31 (18:30:19) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/31 (22:38:42) | ===> btop++ v.1.2.3
2024/03/31 (22:38:42) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/05/06 (17:46:08) | ===> btop++ v.1.2.3
2024/05/06 (17:46:08) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/05/06 (18:09:55) | ===> btop++ v.1.2.3
2024/05/06 (18:09:55) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/05/06 (18:10:18) | ===> btop++ v.1.2.3
2024/05/06 (18:10:18) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
